,userId,gender,item,rating,review,helpfulness,timestamp,category
327,667,M,How the Grinch Stole Christmas,4.0,The First Great Christmas Movie of 2000,4.0,120100,Movies
328,667,F,Unbreakable,4.0,"&quot;Excuse me, I tooted again.&quot;",4.0,120300,Movies
330,667,M,Galaxy Quest,5.0,They Can Save My Planet Anytime!,6.0,121900,Movies
331,667,M,Patriot,2.0,"&quot;They can take our lives, but they can't take our freedom!&quot;",3.0,123100,Movies
417,11714,F,Taco Bell,5.0,TACO H*LL HAS COME A LONG WAY!!,4.0,10501,Restaurants & Gourmet
418,11714,M,Outback Steakhouse,5.0,G'day and G'd place for a great burger,5.0,10601,Restaurants & Gourmet
422,11714,F,How the Grinch Stole Christmas,4.0,The Grinch that Stole Christmas is a hit then and now!!!,4.0,121300,Movies
423,11714,M,McDonald's,5.0,does injury proof playgrounds=funproof for kids?,4.0,121900,Restaurants & Gourmet
425,11714,F,"South Park: Bigger, Longer & Uncut",5.0,Sit down and watch more South Park M'Kay,4.0,122400,Movies
479,5418,F,FreeRide.com,4.0,Let's go for a ride!,5.0,11300,Online Stores & Services
480,5418,F,StartSampling.Com,4.0,Why not??,4.0,11300,Online Stores & Services
481,5418,F,All Advantage,5.0,Definitely an Advantage!!,6.0,11300,Online Stores & Services
482,5418,F,MyPoints.com,4.0,Bring on the points!,4.0,11300,Online Stores & Services
486,5418,F,MyPoints.com,4.0,Still going and going and going.......,3.0,42100,Online Stores & Services
487,5418,F,eBay,5.0,Hi My Name is bjsmom &amp; I am an...,6.0,62600,Online Stores & Services
489,5418,F,PayPal,5.0,No Fees!!! Yippee!!,4.0,101300,Personal Finance
490,5418,F,All Advantage,3.0,It Had it's 5 Minutes of Fame,3.0,101300,Online Stores & Services
638,4912,M,Blair Witch Project,3.0,The Haunted Hunters,4.0,111299,Movies
639,4912,F,Star Wars Episode I: The Phantom Menace,3.0,The Dark Force has taken over,3.0,111299,Movies
640,4912,F,Fight Club,3.0,Slippery soap gets you nothing,4.0,111299,Movies
641,4912,M,Toy Story 2,5.0,Love &amp; Toys,4.0,120299,Movies
642,4912,F,Sleepy Hollow,3.0,Heads Do Roll,3.0,120599,Movies
644,4912,F,"South Park: Bigger, Longer & Uncut",4.0,Crude Animation taunts Absurd Reality,3.0,120599,Movies
648,7604,F,Taco Bell,4.0,Cute dog decent food,4.0,60400,Restaurants & Gourmet
649,7604,F,Olive Garden,5.0,My Favorite!,4.0,60400,Restaurants & Gourmet
650,7604,F,Wendy's,2.0,mmm Wendy's.....eww fly on breadstick,3.0,60400,Restaurants & Gourmet
651,7604,M,Outback Steakhouse,5.0,Outback ,4.0,60500,Restaurants & Gourmet
658,11840,M,Cast Away,5.0,"Castaway: Starring Tom Hanks, Helen Hunt and a Volleyball",4.0,10301,Movies
659,11840,M,X-Men,4.0,X-Men: X Marks the Spot!,5.0,60201,Movies
660,11840,M,Burger King,3.0,"Burger King: Hey You Pimply Faced Geek, Show me Your Sesame Seed Buns!",4.0,61501,Restaurants & Gourmet
662,11840,F,Being John Malkovich,5.0,Finally Got to see this movie...glad I did,5.0,80800,Movies
663,11840,F,AOL (America Online),3.0,AOL Fine for Beginners,3.0,80800,Online Stores & Services
664,11840,M,Galaxy Quest,4.0,"I'm a Nerd, and Proud of It!",3.0,101700,Movies
665,11840,F,MyPoints.com,5.0,Helpful Explanation and Points can be Acquired,6.0,101800,Online Stores & Services
666,11840,M,Patriot,2.0,Brits as Proto-Nazis.Mel Gibson as hysterical historic type,3.0,102300,Movies
668,11840,M,J. K. Rowling - Harry Potter and the Sorcerer's Stone,4.0,Not Just for Kids,5.0,103100,Books
670,11840,F,Blue Mountain Arts eCards,5.0,Where is this Mountain and why is it Blue?,5.0,112100,Online Stores & Services
672,11840,M,Southwest Airlines,5.0,"Southwest Airlines: For Puddle Jumping, It's the Way to Go",6.0,121200,Hotels & Travel
674,11840,M,Subway,4.0,Something In Israel That's Not Stuffed In a PIta,5.0,122500,Restaurants & Gourmet
749,6737,M,Sixth Sense,4.0,The Sixth Sense for the Hundreth Time,5.0,10700,Movies
750,6737,M,FOX,5.0,You Know...I cannot go...without...&quot;That 70's Show&quot;,4.0,12000,Media
752,6737,M,Fight Club,5.0,Tyler Durden says...,5.0,61900,Movies
753,6737,F,Patriot,4.0,"War, Regretable War",4.0,70100,Movies
754,6737,F,X-Men,3.0,Lost; Rejected,4.0,71700,Movies
755,6737,F,American Beauty,4.0,Midlife Crisis Coverage:  See Story Below,3.0,122399,Movies
756,6737,M,FreeRide.com,4.0,Go On and Take a FreeRide.,3.0,122799,Online Stores & Services
810,12864,F,Talented Mr. Ripley,4.0,"A Talent for Lies, Deception and Murder",5.0,40101,Movies
811,12864,M,Sixth Sense,5.0,The Sixth Sense Is First In New Movies,4.0,41600,Movies
812,12864,M,PayPal,5.0,I Love My Paypal,6.0,41900,Personal Finance
813,12864,F,New York City,5.0,The Big Apple ,4.0,42000,Hotels & Travel
814,12864,M,Las Vegas,4.0,Viva Las Vegas!,3.0,42500,Hotels & Travel
815,12864,F,Star Wars Episode I: The Phantom Menace,4.0,Where Are All My Old Friends?,4.0,51900,Movies
816,12864,F,How the Grinch Stole Christmas,5.0,Just As Long As We Have We,4.0,52500,Movies
817,12864,M,All Advantage,4.0,It's Not All Advantages,5.0,60500,Online Stores & Services
818,12864,F,Green Mile,5.0,A Terrific But Extremely Disturbing Film,5.0,71700,Movies
819,12864,F,StartSampling.Com,4.0,I Like The Samples When Available,4.0,80300,Online Stores & Services
820,12864,F,Erin Brockovich,5.0,Roberts Proves She is More Than A Runaway Bride,5.0,82700,Movies
842,3228,M,McDonald's,4.0,Old MacDonald had a Restaurant...,5.0,10801,Restaurants & Gourmet
843,3228,M,Cast Away,5.0,Never Fly FedEx,6.0,50601,Movies
845,3228,M,NBC,4.0,Get the Surgeon out of the OR and into the ER,4.0,110700,Media
846,3228,F,Dogma,5.0,3rd Time is the Charm,6.0,112300,Movies
847,3228,F,Unbreakable,4.0,I see dead acting,3.0,112600,Movies
848,3228,F,Perfect Storm,4.0,And how was the cruise......,3.0,112700,Movies
849,3228,F,FOX,5.0,Simpson- Going Strong after all this time.,6.0,112700,Media
850,3228,F,FOX,4.0,Downey rules as TV's bad boy,4.0,120600,Media
851,3228,F,Patriot,5.0,"Wave that Flag, Mel",4.0,120700,Movies
923,5859,M,"South Park: Bigger, Longer & Uncut",4.0,OH MY GOD! They KILLED KENNY!,5.0,50301,Movies
924,5859,F,Subway,4.0,Decisions decisions,5.0,50901,Restaurants & Gourmet
927,5859,M,Shrek,5.0,LOOK OUT Disney! Here comes SHREK.,6.0,52901,Movies
928,5859,M,Las Vegas,5.0,If you can't find fun to suit you here then you are dead.,6.0,61301,Hotels & Travel
930,5859,F,eBay,4.0,Collectors and Bargain Hunters' Paradise,5.0,112500,Online Stores & Services
932,5859,F,Southwest Airlines,5.0,Service with a smile still exists.,5.0,120100,Hotels & Travel
976,9282,M,American Pie,4.0,Hilarious teenage angst,4.0,10100,Movies
977,9282,M,StartSampling.Com,3.0,"StartSampling.com: Great idea, few products",4.0,10100,Online Stores & Services
978,9282,M,Galaxy Quest,4.0,Great Spoof,4.0,10200,Movies
980,9282,F,MyPoints.com,5.0,MyPoints.com: Earn rewards for reading email and visiting web sites,4.0,12100,Online Stores & Services
981,9282,M,AOL (America Online),2.0,"Best local coverage, Bad service",3.0,12100,Online Stores & Services
985,9282,M,Green Mile,5.0,Another Oscar Winner for Tom Hanks,4.0,122199,Movies
986,9282,M,Dogma,5.0,Witty and well researched,5.0,122299,Movies
1039,1131,M,Galaxy Quest,5.0,Best Quest,5.0,12000,Movies
1043,1131,F,What Lies Beneath,2.0,Beneath Ford,3.0,22401,Movies
1044,1131,F,Shrek,5.0,Shreks of Delight,4.0,51901,Movies
1048,1131,M,Sixth Sense,5.0,Perfect sense,4.0,110199,Movies
1049,1131,M,Star Wars Episode I: The Phantom Menace,4.0,The saga continues...,5.0,110399,Movies
1050,1131,F,Toy Story 2,5.0,Toys will be Toys,6.0,112399,Movies
1051,1131,M,Sleepy Hollow,5.0,Nightmare Hollow,5.0,112599,Movies
1052,1131,F,Green Mile,5.0,The Longest Mile,4.0,121499,Movies
1118,6605,M,Scary Movie,3.0,Scary Movie - NOT,4.0,10901,Movies
1119,6605,M,Green Mile,4.0,The Green Mile,3.0,12700,Movies
1120,6605,M,Sixth Sense,4.0,Good Movie,5.0,51100,Movies
1121,6605,M,Dogma,4.0,Dogma,3.0,60100,Movies
1122,6605,M,Pearl Harbor,5.0,A Movie for Boys & Girls,4.0,72601,Movies
1123,6605,M,Shrek,5.0,Not Just a Kids Cartoon,6.0,72601,Movies
1124,6605,M,Austin Powers: The Spy Who Shagged Me,4.0,Austin Powers - The Spy Who Shagged Me,5.0,122199,Movies
1139,540,F,J. K. Rowling - Harry Potter and the Sorcerer's Stone,5.0,"Just for Kids, I think not",6.0,32501,Books
1140,540,F,Star Wars Episode I: The Phantom Menace,5.0,Episode 1,4.0,40500,Movies
1143,540,M,Matrix,5.0,Explore the Possible Future,5.0,101600,Movies
1144,540,M,The Sims 2: Open for Business for Windows,4.0,A way to run someones life without making them mad,5.0,111700,Games
1145,540,F,X-Men,5.0,Finally,4.0,111900,Movies
1187,5442,F,Sixth Sense,2.0,Sixth Sense doesn't deliver...,3.0,10600,Movies
1188,5442,M,Star Wars Episode I: The Phantom Menace,4.0,It's Star Wars!,3.0,10600,Movies
1189,5442,F,Blair Witch Project,4.0,"The hype pays off, but not necessarily 'Scary as Hell'",5.0,10800,Movies
1190,5442,F,"South Park: Bigger, Longer & Uncut",4.0,Animated Film or Musica?  You decide....,4.0,10900,Movies
1191,5442,F,Being John Malkovich,5.0,The best movie to come out of Hollywood this year - and why....,5.0,120799,Movies
1192,5442,M,Dogma,4.0,"Highly Irreverent, Extremely Amusing",5.0,120799,Movies
1193,5442,F,Sleepy Hollow,5.0,Breathtaking scenery - Depp is spectacular...,4.0,120799,Movies
1194,5442,F,Toy Story 2,5.0,The toys are back and better than ever!,5.0,120799,Movies
1195,5442,F,Fight Club,2.0,Why David Fincher's Dark Comedy/Satire failed...,3.0,120799,Movies
1196,5442,F,American Beauty,5.0,Why American Beauty is the best movie of the Year...,4.0,120899,Movies
1197,5442,M,Talented Mr. Ripley,3.0,The Biggest Disappointment of the Season,4.0,123099,Movies
1198,5442,M,Galaxy Quest,4.0,Surprisingly funny - worthwhile for the entire family...,3.0,123099,Movies
1211,10735,F,American Beauty,4.0,Strange beauty,4.0,62200,Movies
1212,10735,M,Green Mile,4.0,Emotional Mile,4.0,62200,Movies
1213,10735,M,Sixth Sense,5.0,GOOD SENSE,4.0,62300,Movies
1214,10735,F,Sleepy Hollow,4.0,A Tim Burton Classic,5.0,62300,Movies
1215,10735,F,Fight Club,4.0,FIGHT-TASTIC,4.0,62300,Movies
1216,10735,F,Being John Malkovich,4.0,Being original,3.0,62300,Movies
1218,10735,M,Final Fantasy VIII for PlayStation 1,5.0,FINALLY!!!,6.0,62300,Games
1220,10735,M,X-Men,4.0,Don't listen to the critics!,4.0,71700,Movies
1434,8302,F,New York City,5.0,Manhattan's Best Ice Cream Parlor,5.0,11300,Hotels & Travel
1435,8302,F,Delta Air Lines,3.0,Bye bye Swissair,4.0,11300,Hotels & Travel
1436,8302,M,New York City,5.0,Zabar's is Food Heaven!,6.0,11500,Hotels & Travel
1437,8302,F,All Advantage,4.0,I know the best way to make money with All Advantage,4.0,11700,Online Stores & Services
1439,8302,F,New York City,4.0,Russian Tea Room Lives Again!!,4.0,12200,Hotels & Travel
1440,8302,M,New York City,4.0,The Cloisters - Worth a trip to northern Manhattan,4.0,12300,Hotels & Travel
1441,8302,M,New York City,4.0,The Brooklyn Bridge - Worth a Trip,5.0,12400,Hotels & Travel
1444,8302,M,New York City,5.0,Take The Subway - It Rules!,4.0,12400,Hotels & Travel
1445,8302,M,New York City,3.0,Taxi Tricks for Tourists,4.0,20400,Hotels & Travel
1446,8302,M,New York City,4.0,Great Bread Baker in Manhattan,4.0,20500,Hotels & Travel
1447,8302,M,New York City,5.0,Dean &amp; Deluca: You Have to See This Food Store!,4.0,21500,Hotels & Travel
1448,8302,F,New York City,5.0,The World's Best Chocolate,5.0,21800,Hotels & Travel
1449,8302,F,New York City,5.0,The Best Greek Bakery!,4.0,22000,Hotels & Travel
1450,8302,F,New York City,4.0,The Best Bookstore in New York City,5.0,22600,Hotels & Travel
1451,8302,M,New York City,5.0,Chelsea Market: Is This Food Heaven?,5.0,30200,Hotels & Travel
1452,8302,M,New York City,5.0,Want Spices? Go here!,6.0,30700,Hotels & Travel
1453,8302,M,New York City,4.0,Best Way to Get to the Airport in NYC,5.0,30800,Hotels & Travel
1454,8302,F,New York City,5.0,New York's Best French Toast - very updated,5.0,31500,Hotels & Travel
1455,8302,M,New York City,5.0,The Best Food Festival!!,6.0,51500,Hotels & Travel
1549,4439,M,FOX,3.0,Malcom towards the bottom,3.0,11200,Media
1551,4439,F,Blue Mountain Arts eCards,5.0,Make everyone happy!,4.0,11400,Online Stores & Services
1552,4439,F,"South Park: Bigger, Longer & Uncut",4.0,Got a sick sense of humor?,4.0,11500,Movies
1553,4439,M,American Pie,5.0,"Nonstop laughs, memories!",4.0,11800,Movies
1554,4439,M,Austin Powers: The Spy Who Shagged Me,5.0,Do I make you...laugh...baby?,5.0,11900,Movies
1555,4439,F,Galaxy Quest,4.0,"Childish, but generally okay",4.0,12200,Movies
1629,9661,F,PayPal,4.0,Y2K at it's finest!,3.0,20901,Personal Finance
1632,9661,M,American Pie,5.0,Love It!,4.0,22400,Movies
1633,9661,M,eBay,5.0,Addicting Auction Site!,6.0,22800,Online Stores & Services
1634,9661,F,Sixth Sense,5.0,Great Plot Twister!,6.0,22800,Movies
1637,9661,M,Outback Steakhouse,5.0,Worth the Wait,6.0,42900,Restaurants & Gourmet
1638,9661,F,What Lies Beneath,4.0,The Title Says it All!!,4.0,80200,Movies
1639,9661,M,The Sims 2: Open for Business for Windows,5.0,"Hello my name is Jen, and I'm a Simaholic!",5.0,101300,Games
1666,12028,M,Green Mile,5.0,The Book vs. The Movie,4.0,30201,Movies
1667,12028,F,McDonald's,3.0,Did you Smile Today?,3.0,30401,Restaurants & Gourmet
1668,12028,F,Subway,4.0,How do you Spell QUALITY?,5.0,31201,Restaurants & Gourmet
1671,12028,M,"Simpsons, The",5.0,Keeps on Going...,5.0,31601,Kids & Family
1672,12028,M,Shrek,5.0,My Shrek Experience,6.0,52601,Movies
1673,12028,M,Unbreakable,5.0,Mr. Glass,4.0,80801,Movies
1889,1012,F,Star Wars Episode I: The Phantom Menace,5.0,"Great, But Not As Good As The Originals...",6.0,31000,Movies
1891,1012,M,"South Park: Bigger, Longer & Uncut",4.0,One Of The Funniest Movies Of The Year!,3.0,31400,Movies
1893,1012,M,Matrix,5.0,What A Mindjob,4.0,40201,Movies
1894,1012,F,"Simpsons, The",5.0,10 Years and still going strong...,4.0,50800,Kids & Family
1895,1012,M,Subway,5.0,"Fast, Friendly, and Filling!",4.0,120300,Restaurants & Gourmet
1933,7535,M,Las Vegas,5.0,Whether age 9 or 90...you'll be entertained!,6.0,21400,Hotels & Travel
1936,7535,M,Sixth Sense,5.0,Strangely Moving &amp; Thought Provoking,4.0,41000,Movies
1938,7535,M,Outback Steakhouse,5.0,All they need now is a &quot;Frequent Diners&quot; Club!!,5.0,50200,Restaurants & Gourmet
1939,7535,F,Green Mile,5.0,It Will Exhaust Your Emotions....The Green Mile,5.0,80100,Movies
1940,7535,M,eBay,5.0,"Find It or Sell It...either way, you can do it at EBay!",6.0,80700,Online Stores & Services
1941,7535,F,StartSampling.Com,3.0,StartSampling....a lot of effort for next to nothing.,3.0,80700,Online Stores & Services
1942,9354,M,New York City,4.0,O Tempora Morrisania: The Morrisania Section of the Bronx,3.0,110500,Hotels & Travel
1943,9354,M,New York City,4.0,Ever heard of Inwood?,3.0,111199,Hotels & Travel
1945,9354,M,Sixth Sense,5.0,Bringing out the dead!!,6.0,111199,Movies
1946,9354,F,New York City,5.0,"Staten Island a nice place to visit, a better place to live!",4.0,111299,Hotels & Travel
1947,9354,F,American Beauty,4.0,Finding beauty in the dysfunctional.,3.0,111699,Movies
1948,9354,M,New York City,4.0,Historic Richmond Town: A Glimpse of Olde New York,5.0,112000,Hotels & Travel
1949,9354,F,Unbreakable,4.0,6th Sense Redux?...Not at all,4.0,112700,Movies
1950,9354,F,How the Grinch Stole Christmas,5.0,An Instant Classic...,4.0,120499,Movies
1951,9354,M,Green Mile,4.0,A Magical Movie...,5.0,122099,Movies
2002,14881,M,Toy Story 2,5.0,Pixar shows Disney how to make a sequel,5.0,21906,Movies
2003,14881,M,Shrek,4.0,Shrek is a crude but very funny movie,3.0,51507,Movies
2004,14881,F,Final Fantasy VIII for PlayStation 1,5.0,When deformed lego charecters atttack,6.0,51904,Games
2005,14881,F,Star Wars Episode I: The Phantom Menace,3.0,It's sad when the best thing in the move is Jar Jar,3.0,52205,Movies
2007,14881,M,Subway,4.0,Eat more Subs,5.0,82704,Restaurants & Gourmet
2011,14881,M,Blue's Clues,4.0,I can see why kids like this,3.0,100600,Kids & Family
2012,14881,F,Sixth Sense,4.0,the sixth sense,4.0,100800,Movies
2013,14881,M,J. K. Rowling - Harry Potter and the Sorcerer's Stone,4.0,If the movie is has good has the book then it's a must see.,3.0,111101,Books
2062,1370,F,The Sims 2: Open for Business for Windows,5.0,The Sims: Play God for once,4.0,12401,Games
2063,1370,M,X-Men,5.0,The Future in 90 minutes,4.0,72800,Movies
2064,1370,M,"Simpsons, The",5.0,Proof there is a God,4.0,73100,Kids & Family
2065,1370,M,FOX,5.0,Fact or Fiction scares the hell into you,5.0,80100,Media
2066,1370,F,Scary Movie,4.0,Remember to breathe because you laugh so much,4.0,80200,Movies
2067,1370,M,Patriot,4.0,See the Patriot for Independence of your appetite,3.0,80600,Movies
2068,1370,F,FOX,4.0,A new season of shows; are you ready?,4.0,112200,Media
2156,12809,M,NetZero,2.0,Nothing is Free,3.0,102699,Online Stores & Services
2159,12809,F,Final Fantasy VIII for PlayStation 1,5.0,Square has done it again,4.0,102799,Games
2162,12809,M,Sixth Sense,5.0,One Excellent Film,5.0,102999,Movies
2222,11188,F,AOL (America Online),5.0,I love it..,6.0,12600,Online Stores & Services
2224,11188,M,All Advantage,5.0,All Advantage is AMAZING,5.0,13100,Online Stores & Services
2225,11188,F,Talented Mr. Ripley,4.0,He is talented!,5.0,20200,Movies
2226,11188,M,American Pie,5.0,Great American Teenage Classic,6.0,20700,Movies
2228,11188,M,eBay,5.0,Ebay is here to Stay,4.0,21100,Online Stores & Services
2265,6804,M,Austin Powers: The Spy Who Shagged Me,4.0,"Funny, but not for Kids",5.0,11800,Movies
2266,6804,M,Burger King,4.0,Taste of Home while Traveling the World,4.0,50100,Restaurants & Gourmet
2267,6804,F,PayPal,5.0,If used correctly Seems to work,4.0,50300,Personal Finance
2271,6804,F,New York City,4.0,Great Weekend Getaway,3.0,122399,Hotels & Travel
2273,6804,F,Southwest Airlines,4.0,Fun Flying,4.0,122899,Hotels & Travel
2274,6804,M,Pearl Harbor,5.0,Historical Importance make this a must see,4.0,122999,Movies
2308,2412,F,Mission: Impossible II,4.0,Tom,4.0,61000,Movies
2309,2412,F,McDonald's,3.0,Great for Kids!,3.0,71900,Restaurants & Gourmet
2310,2412,F,Wendy's,5.0,A Dinnner that only cost $10 and feeds my family??? ,6.0,73000,Restaurants & Gourmet
2311,2412,F,X-Men,5.0,What did you say there is going to be X-Men part II,6.0,80200,Movies
2312,2412,F,FOX,5.0,I am suffering from lack of 90210,5.0,81700,Media
2314,2412,M,Gladiator,5.0,Watch able......,4.0,92900,Movies
2315,2412,M,FOX,5.0,Dark Angel,4.0,120200,Media
2397,1257,F,FreeRide.com,5.0,Hang on....for a GREAT free ride!,6.0,11400,Online Stores & Services
2398,1257,M,FOX,5.0,"Fox, One of my family's favorites",5.0,11600,Media
2399,1257,M,McDonald's,5.0,McDonalds-Kids Know!,4.0,11600,Restaurants & Gourmet
2400,1257,F,MyPoints.com,5.0,One of the first for Me!,5.0,11800,Online Stores & Services
2401,1257,F,AOL (America Online),3.0,"If you use the  BYOA, its great!",4.0,20400,Online Stores & Services
2402,1257,F,Blue's Clues,5.0,Lets go looking for Blues Clues because its really fun!,5.0,60100,Kids & Family
2523,704,F,J. K. Rowling - Harry Potter and the Sorcerer's Stone,5.0,Almost too amazing to describe,4.0,32401,Books
2525,704,F,Gladiator,5.0,"Oh, wow!",6.0,51700,Movies
2527,704,F,The Sims 2: Open for Business for Windows,4.0,Must Be The Best Simulation Game Out There (Great Re-Write W/O),4.0,60401,Games
2528,704,M,Austin Powers: The Spy Who Shagged Me,2.0,"Not shagadelic, baby!",3.0,60700,Movies
2530,704,F,"South Park: Bigger, Longer & Uncut",5.0,Come On Baby Light My Fart! [Akira Anime Write-Off],5.0,72801,Movies
2532,704,F,Blair Witch Project,2.0, Unpleasant? Yes. Scary? No.,3.0,92700,Movies
2539,3569,F,Scream 3,3.0,Scream 3,3.0,20500,Movies
2540,3569,F,Erin Brockovich,4.0,Erin Brockovich,5.0,31600,Movies
2544,3569,F,American Pie,3.0,&quot;Pie&quot; is a Small Slice of Laughter,4.0,71199,Movies
2545,3569,F,Matrix,5.0,Science Fiction At It's Finest,6.0,71399,Movies
2546,3569,M,Austin Powers: The Spy Who Shagged Me,3.0,Autsin Powers: The Spy Who Shagged Me,3.0,71599,Movies
2547,3569,M,Star Wars Episode I: The Phantom Menace,4.0,Star Wars Episode I: The Phantom Menace,5.0,72099,Movies
2548,3569,M,Blair Witch Project,5.0,The Blair Witch Project,6.0,72099,Movies
2549,3569,M,"South Park: Bigger, Longer & Uncut",4.0,"South Park: Bigger, Longer, and Uncut",4.0,72099,Movies
2552,3569,M,Sixth Sense,5.0,The Sixth Sense,5.0,80699,Movies
2553,3569,M,American Beauty,5.0,American Beauty,5.0,91999,Movies
2554,3569,F,Fight Club,5.0,Fight Club,6.0,101299,Movies
2555,3569,F,Being John Malkovich,5.0,Being John Malkovich,6.0,102299,Movies
2556,3569,M,Dogma,3.0,Dogma,3.0,111499,Movies
2557,3569,F,Sleepy Hollow,4.0,Sleepy Hollow,3.0,111599,Movies
2558,3569,F,Toy Story 2,5.0,Toy Story 2,6.0,112699,Movies
2559,3569,M,Green Mile,4.0,The Green Mile,5.0,121199,Movies
2762,2367,M,All Advantage,4.0,All Advantage...has it's advantages,3.0,40600,Online Stores & Services
2764,2367,M,The Sims 2: Open for Business for Windows,4.0,Sim-tastic,3.0,40900,Games
2765,2367,M,Blue Mountain Arts eCards,4.0,Online cards can't be beat,5.0,41400,Online Stores & Services
2767,2367,F,X-Men,4.0,X-Men= a great flick,4.0,71700,Movies
2769,2367,M,eBay,4.0,Ebay mania,4.0,71800,Online Stores & Services
2896,2834,M,American Pie,5.0,"One time, in band camp....",6.0,10800,Movies
2897,2834,M,Matrix,4.0,It deserves the huge following,3.0,11100,Movies
2898,2834,M,Final Fantasy VIII for PlayStation 1,5.0,Square continues its RPG domination,4.0,11100,Games
2899,2834,M,Final Fantasy VIII for PlayStation 1,5.0,Pushing the playstation to its limits,6.0,11100,Games
2903,5929,F,PayPal,4.0,PayPal - Auctioning's Best Friend,3.0,60501,Personal Finance
2904,5929,F,Sixth Sense,4.0,Symbolism Abounds in The Sixth Sense,4.0,62500,Movies
2907,5929,M,J. K. Rowling - Harry Potter and the Sorcerer's Stone,4.0,The Skeptic and Harry Potter,5.0,80700,Books
2908,5929,M,Patriot,4.0,It's Election Day: Be a Patriot,5.0,110700,Movies
2979,1198,M,Cast Away,3.0,"Cast Away - Hanks is good, but he's no naked gay guy.",3.0,10301,Movies
2980,1198,M,J. K. Rowling - Harry Potter and the Sorcerer's Stone,5.0,Harry Potter and the Sorceror's Stone,6.0,21600,Books
2984,1198,M,Gladiator,3.0,Gladiator -- Dances With Wolves 10 years later.,3.0,32401,Movies
2988,1198,F,AOL (America Online),4.0,Say what you want...............,5.0,50200,Online Stores & Services
2990,1198,F,Subway,3.0,Subway - When timing and cheap franchise rights collide.,4.0,50900,Restaurants & Gourmet
2993,1198,M,Mission: Impossible II,3.0,Mission Impossible 2 - Woo Voodoo is Poo Poo,4.0,52700,Movies
2994,1198,F,MyPoints.com,4.0,One of the Few Pay to Surf Sites Worth Using - MyPoint.com,3.0,53100,Online Stores & Services
2996,1198,M,StartSampling.Com,3.0,Just like those surveys in the Sunday paper.,4.0,61100,Online Stores & Services
3001,1198,M,Scary Movie,2.0,Amateur Hour,3.0,122300,Movies
3132,7054,M,Delta Air Lines,4.0,Delta Airlines: Good memories  equal great expectations!,3.0,42202,Hotels & Travel
3135,7054,M,Pearl Harbor,5.0,Pearl Harbor: The Sorrow of a Nation,6.0,52101,Movies
3136,7054,M,Pearl Harbor,4.0,Pearl Harbor: A Page Torn From History,4.0,52601,Movies
3137,7054,F,Perfect Storm,4.0,Almost Perfect Entertainment,4.0,70200,Movies
3138,7054,M,Sixth Sense,5.0,Why Didn't I Think of That??,5.0,70300,Movies
3143,7054,F,Cast Away,5.0,"Cast Away: Absolutely, Positively a Brilliant Performance By Tom Hanks",4.0,121900,Movies
3193,7636,F,Sixth Sense,5.0,Whoa!,6.0,120199,Movies
3194,7636,M,American Pie,4.0,Surprisingly Funny,5.0,120299,Movies
3195,7636,F,J. K. Rowling - Harry Potter and the Sorcerer's Stone,4.0,Harry Potter:  A good read for kids and adults,3.0,120299,Books
3196,7636,F,Toy Story 2,4.0,To Infinity and Beyond!,5.0,120399,Movies
